"","LGA","count","Gender","percentage"
"546","10050",26411,"Female",0.517092176364633
"547","10130",15220,"Female",0.516825698665489
"548","10250",21658,"Female",0.518257956448911
"549","10300",1115,"Female",0.487538259728902
"550","10470",20605,"Female",0.498910411622276
"551","10550",17001,"Female",0.511262141761646
"552","10600",6548,"Female",0.516892958635933
"553","10650",4236,"Female",0.500590876861262
"554","10750",169390,"Female",0.502697633561054
"555","10800",2988,"Female",0.50176322418136
"556","10850",3647,"Female",0.502549262780763
"557","10900",39782,"Female",0.517294288983668
"558","10950",1334,"Female",0.49554234769688
"559","11100",23420,"Female",0.501993398208085
"560","11150",1329,"Female",0.504555808656036
"561","11200",802,"Female",0.485766202301635
"562","11250",9091,"Female",0.513383781341766
"563","11300",19028,"Female",0.516938792143226
"564","11350",16361,"Female",0.518475091900114
"565","11400",6699,"Female",0.500448229493501
"566","11450",39884,"Female",0.509908205272444
"567","11500",79999,"Female",0.509528298281594
"568","11520",45666,"Female",0.518843378969494
"569","11570",173977,"Female",0.502385201356042
"570","11600",1303,"Female",0.479220301581464
"571","11650",168972,"Female",0.515573510386409
"572","11700",859,"Female",0.468630660120022
"573","11720",27928,"Female",0.502663786897048
"574","11730",25530,"Female",0.50383848749778
"575","11750",2255,"Female",0.485259307079836
"576","11800",37629,"Female",0.515861482781312
"577","12000",2156,"Female",0.499652375434531
"578","12150",1970,"Female",0.502807554874936
"579","12350",6308,"Female",0.506260032102729
"580","12380",105000,"Female",0.485933385474757
"581","12700",4479,"Female",0.499052924791086
"582","12730",4492,"Female",0.50751327533612
"583","12750",18955,"Female",0.509105070906747
"584","12850",100855,"Female",0.507275534788273
"585","12870",6174,"Female",0.502891585892319
"586","12900",4784,"Female",0.499009074788776
"587","12930",75086,"Female",0.511342200066739
"588","12950",2142,"Female",0.505665722379603
"589","13010",4453,"Female",0.503961068356722
"590","13310",14631,"Female",0.494140295180519
"591","13340",5170,"Female",0.499468650371945
"592","13450",12847,"Female",0.501033501033501
"593","13510",5624,"Female",0.504802082398348
"594","13550",6107,"Female",0.499959066721244
"595","13660",2592,"Female",0.492963103841765
"596","13800",32635,"Female",0.505248327966312
"597","13850",1461,"Female",0.495926680244399
"598","13910",9402,"Female",0.508271164450211
"599","14000",73027,"Female",0.511870299368459
"600","14100",7016,"Female",0.501178655618258
"601","14170",93302,"Female",0.512527260042957
"602","14200",8423,"Female",0.511011345022144
"603","14300",2720,"Female",0.43208895949166
"604","14350",14439,"Female",0.499878829842479
"605","14400",10936,"Female",0.509504286246739
"606","14500",61394,"Female",0.520054551769121
"607","14550",4411,"Female",0.493400447427293
"608","14600",3099,"Female",0.500322893122377
"609","14650",101077,"Female",0.512116775007473
"610","14700",18313,"Female",0.507974813458711
"611","14750",5633,"Female",0.504387535816619
"612","14850",22160,"Female",0.513735945288049
"613","14870",10401,"Female",0.493172119487909
"614","14900",102975,"Female",0.503974041482729
